需求ID,需求域,基线需求,优先级,里程碑,验证方式,验收判据,来源章节,状态
SS-VIS-003,可视化,应支持关键编辑操作的撤销与恢复。,P0,M2,T,区域、通道、参数、标签和布局至少各覆盖一项。,21.3,已基线化
SS-VIS-004,可视化,应支持宽带、窄带和自定义工作区保存恢复。,P0,M2,T,重启后布局一致。,21.4,已基线化
SS-VIS-005,可视化,海量数据绘制不得与原始采样点数量线性绑定，应使用抽稀、像素聚合、瓦片或 GPU 纹理。,P0,M1,I/T,100 GB 浏览满足性能基线。,22,已基线化
SS-VIS-006,可视化,渲染应渐进显示已有缓存、粗略结果和高分辨率替换，替换过程无明显闪烁。,P0,M1,D/T,AT-002 通过。,22,已基线化
SS-VIS-007,可视化,至少支持 Viridis、Inferno、Magma、Plasma、Turbo、Jet、Gray 和自定义色阶。,P0,M1,D,色阶切换立即生效并可持久化。,22,已基线化
SS-VIS-008,可视化,远程桌面或虚拟显示环境下应提供软件渲染或兼容后端降级。,P0,M4,T,禁用 GPU 后仍可完成基础浏览。,28.3,已基线化
SS-VIS-009,可视化,星座图应支持同步前后、点图/密度图、参考点、EVM 和导出。,P1,M3,T,满足第15.1节。,15.1,已基线化
SS-VIS-010,可视化,眼图应支持 I/Q/幅度、多电平、同步前后、轨迹/密度和导出。,P1,M3,T,前置条件不满足时明确提示。,15.2,已基线化
SS-CCH-001,索引缓存,时域多分辨率索引每级至少保存最小值、最大值、RMS、样本范围。,P0,M1,I/T,缩放层级读取正确且与原数据抽查一致。,19.1,已基线化
SS-CCH-002,索引缓存,时频瓦片元数据应包含数据源、层级、起点、FFT/步长/窗、单位、尺寸、精度和算法版本。,P0,M1,I/T,缓存文件可自描述并正确失效。,19.2,已基线化
SS-CCH-003,索引缓存,缓存键应包含文件指纹、格式/元数据、算法版本、缓存版本、FFT/STFT 参数和软件构建版本。,P0,M1,T,任一关键参数变化均不命中旧缓存。,19.3,已基线化
SS-CCH-004,索引缓存,缓存应支持目录配置、容量上限、LRU、清理、损坏重建和磁盘不足降级。,P0,M4,T,容量、损坏、磁盘不足用例通过。,19.4,已基线化
SS-CCH-005,索引缓存,缓存和项目写入必须先写临时文件再原子替换。,P0,M4,I/T,中断写入不损坏最后有效版本。,"19.4, 23",已基线化
SS-TSK-001,任务调度,UI 主线程不得执行长耗时文件、DSP、推理或导出任务。,P0,M1,I/T,线程审查通过；压力测试 UI 无冻结。,"5, 20",已基线化
SS-TSK-002,任务调度,任务优先级应依次保证 UI、当前可见图谱、活动通道、显式分析、缓存、预计算、批量任务。,P0,M2,T,并发压力下前台任务优先完成。,20.2,已基线化
SS-TSK-003,任务调度,耗时任务应声明并实现明确取消语义。,P0,M2,T,AT-006 通过。,20.3,已基线化
SS-TSK-004,任务调度,快速视图变化产生的旧请求应标记过期且不得提交结果。,P0,M1,T,连续缩放最终仅展示最后一次请求结果。,20.4,已基线化
SS-TSK-005,任务调度,应支持依赖、失败传播、共享中间结果、任务去重和局部重算。,P0,M2,I/T,同键任务不重复计算；上游失败下游不误执行。,20.5,已基线化
SS-TSK-006,任务调度,应提供 CPU、磁盘、内存、显存、GPU 并发和单通道资源上限。,P0,M4,D/T,资源配置可见；超限时排队或降级。,20.6,已基线化
SS-TSK-007,任务调度,GPU 推理应排队或受控并发，资源不足时可回退 CPU。,P1,M3,T,GPU 不可用时主程序不中断。,"20.7, 24",已基线化
SS-PRJ-001,项目持久化,项目应保存数据源、格式、区域、通道、处理链、算法参数、结果引用、注释、布局和图谱配置。,P0,M2,T,AT-008 通过。,23,已基线化
SS-PRJ-002,项目持久化,路径应同时保存相对路径、绝对路径和文件指纹。,P0,M2,T,移动项目目录后可优先使用相对路径。,23,已基线化
SS-PRJ-003,项目持久化,数据文件移动后应支持自动搜索、手工重新定位和只读降级。,P0,M4,T,缺失文件用例可恢复或只读打开。,23,已基线化
SS-PRJ-004,项目持久化,项目格式必须版本化，支持旧版迁移、升级前备份和未知字段忽略。,P0,M4,T,至少用一个旧版本样例验证迁移。,23,已基线化
SS-PRJ-005,项目持久化,插件或模型缺失时项目应降级打开并保留不可执行结果引用。,P1,M3,T,缺少插件时项目不崩溃且提示明确。,23,已基线化
SS-PRJ-006,项目持久化,应支持自动保存、崩溃恢复和临时项目恢复。,P0,M4,T,强制终止后可恢复最近自动保存点。,23,已基线化
SS-PRJ-007,项目持久化,项目保存失败不得覆盖最后一个有效项目文件。,P0,M4,T,磁盘满/中断写入用例通过。,"23, 27",已基线化
SS-AI-001,模型推理,ONNX Runtime、TensorRT 和 Python/PyTorch 进程外服务为可选后端，其中 ONNX Runtime/Python 接入为 P1。,P1,M3,I/T,模型管理界面与后端适配接口存在。,24,已基线化
SS-AI-002,模型推理,识别输入应记录 IQ、采样率、中心频率、时间范围、带宽、长度、归一化和预处理参数。,P1,M3,I/T,结果追溯字段完整。,16.1,已基线化
SS-AI-003,模型推理,识别输出应包含 Top-1、Top-K、置信度、拒识、有效性、模型/标签集版本、设备、耗时和错误。,P1,M3,T,统一结果对象完整。,16.2,已基线化
SS-AI-004,模型推理,模型管理应支持导入、启停、删除、兼容性检查、自检、超时和失败隔离。,P1,M3,T,坏模型/超时不影响主程序。,16.3,已基线化
SS-AI-005,模型推理,人工确认不得覆盖模型原始输出，应单独保存确认状态和修订值。,P1,M3,T,原始结果与人工结果并存。,16.4,已基线化
SS-AI-006,模型推理,Python 服务应提供启动、停止、健康检查、重启、日志、环境/GPU 检查和模型预热。,P1,M3,T,AT-007 通过。,24,已基线化
SS-DEM-001,解调协议,统一解调输出模型应可表达符号、软比特、硬比特、字节流、音频、帧、时间戳、置信度、校验和错误。,P1,M3,I/T,至少一个参考解调器使用统一结构。,17,已基线化
SS-DEM-002,解调协议,协议解析器应支持帧列表、字段树、原始字节、字段解释、校验状态和回跳 IQ 位置。,P2,M4,T,插件样例可演示。,17,已基线化
SS-PLG-001,插件,插件类型应覆盖格式、DSP、估计、识别、解调、协议和导出。,P1,M3,I,插件注册表可表达全部类型。,25,已基线化
SS-PLG-002,插件,插件不得直接操作主窗口内部对象，只能通过版本化服务接口。,P0,M4,I,SDK/API 审查通过。,25,已基线化
SS-PLG-003,插件,进程内 C++ 插件应检查 MSVC、Qt、运行库和 SDK/ABI 版本，禁止异常跨模块边界。,P1,M3,I/T,不兼容插件被拒绝且主程序不崩溃。,25,已基线化
SS-PLG-004,插件,不可信或 Python 插件应优先采用进程隔离。,P1,M3,I/T,进程崩溃可恢复。,25,已基线化
SS-EXP-001,导出,P0 应支持 RAW/WAV IQ 导出，并携带必要元数据。,P0,M2,T,导出后重导入样本和坐标一致。,26.1,已基线化
SS-EXP-002,导出,P0 应支持 PNG、SVG 和 PDF 图形导出。,P0,M4,T,分辨率、DPI、坐标、图例和色条配置生效。,26.2,已基线化
SS-EXP-003,导出,P0 应支持 CSV、JSON 和 Markdown 测量结果导出。,P0,M4,T,字段、单位和编码正确。,26.3,已基线化
SS-EXP-004,导出,解调结果导出为 P1，支持符号、比特、字节流、WAV、帧和协议 JSON。,P1,M3,T,启用模块时格式可用。,26.4,已基线化
SS-EXP-005,导出,所有导出应包含数据源、样本范围、时间频率、处理链、版本、时间、单位和校验值。,P0,M4,I/T,抽查导出元数据完整。,26.5,已基线化
SS-LOG-001,日志诊断,日志应至少支持 Debug、Info、Warning、Error、Critical。,P0,M1,D,运行时可配置级别。,27,已基线化
SS-LOG-002,日志诊断,应记录解析、缓存、任务、算法、模型/插件、GPU、资源、项目和导出关键事件。,P0,M4,I/T,故障场景可由日志定位。,27,已基线化
SS-LOG-003,日志诊断,应支持崩溃报告和诊断包导出。,P0,M4,T,诊断包包含日志、版本、环境和脱敏项目摘要。,27,已基线化
SS-NFR-001,性能,普通 UI 事件从输入到视觉反馈的 P95 延迟应不高于 50 ms。,P0,M4,T,参考环境 10 分钟交互采样满足 P95。,28.1,已基线化
SS-NFR-002,性能,无缓存打开 100 GB 基准文件，低分辨率首帧应在 3 s 内出现；缓存命中时应在 1 s 内出现。,P0,M4,T,连续 5 次测量取中位数满足。,"28.1, 28.2",已基线化
SS-NFR-003,性能,常规平移缩放目标 60 FPS，P95 不低于 30 FPS。,P0,M4,T,参考环境 1920×1080 连续交互测试满足。,28.1,已基线化
SS-NFR-004,性能,视图请求发生后应在 300 ms 内显示缓存或粗分辨率反馈。,P0,M4,T,P95 满足。,22,已基线化
SS-NFR-005,性能,可安全点取消的任务收到取消后应在 500 ms 内停止提交新结果。,P0,M4,T,AT-006 满足。,20.3,已基线化
SS-NFR-006,性能,浏览 100 GB 基准文件时进程常驻内存 P95 不高于 4 GB，不含用户显式创建的大型导出缓冲。,P0,M4,T,30 分钟浏览压力测试满足。,28.1,已基线化
SS-NFR-007,稳定性,30 分钟连续缩放、切换通道和取消任务后，常驻内存增长应小于初始稳定值的 10%。,P0,M4,T,压力测试满足且无句柄持续增长。,28.3,已基线化
SS-NFR-008,稳定性,单任务、单模型或单插件失败不得导致主程序退出。,P0,M4,T,故障注入测试通过。,28.3,已基线化
SS-NFR-009,兼容性,无独立 GPU 的 CPU 环境下 P0 基础功能必须完整可用。,P0,M4,T,禁用独显后 P0 验收用例通过。,28.3,已基线化
SS-NFR-010,可维护性,核心逻辑与 UI 解耦，公共服务接口版本化，关键算法和序列化具备单元测试。,P0,M4,I/T,架构审查与测试覆盖报告通过。,"28.4, 35",已基线化
SS-NFR-011,安全性,本地插件、模型和项目文件的异常内容不得导致越界写入、任意主窗口对象访问或静默执行不受控代码。,P0,M4,I/T,输入校验、进程隔离和插件权限审查通过。,"2.3, 25",已基线化
SS-NFR-012,可用性,参数非法、前置条件不足或结果不可靠时，应显示可操作的中文错误/警告，不得仅记录日志。,P0,M4,D/T,核心异常用例均有界面反馈。,"21.5, 27",已基线化
SS-ACC-001,数值正确性,时间映射误差不超过 1 个原始样本。,P0,M4,T,参考坐标数据通过。,29,已基线化
SS-ACC-002,数值正确性,频率坐标误差不超过 1 个显示频点。,P0,M4,T,已知单音测试通过。,29,已基线化
SS-ACC-003,数值正确性,重采样输出长度与理论值误差不超过 1 个输出样本。,P0,M4,T,多组有理倍率测试通过。,29,已基线化
SS-ACC-004,数值正确性,群时延补偿应与理论值或参考实现一致。,P0,M4,T,脉冲定位测试误差不超过 1 个原始样本。,29,已基线化
SS-ACC-005,数值正确性,对满量程正弦和已知噪声基准，幅度/功率测量误差不超过 0.2 dB；标定功率误差不超过 0.5 dB。,P0,M4,T,参考数据集通过。,29,已基线化
SS-ACC-006,数值正确性,DDC 与双精度参考实现相比，归一化均方误差应不高于 $10^{-10}$（Float64 路径）或 $10^{-6}$（Float32 路径）。,P0,M4,T,固定随机种子数据通过。,29,已基线化
SS-ACC-007,数值正确性,IQ 导出应与选择的原始或处理结果逐样本一致，量化格式转换时按已声明容差验收。,P0,M4,T,往返校验及校验值一致。,29,已基线化
